name;id;url;promo_price;regular_price;manufacturer
Вода Petroglyph минеральная природная столовая негазированная, 0.375л;591993527;/products/0375l-min-voda-petroglyph-prirod-stol-bg-st;96.9;96.9;PETROGLYPH
Напиток витаминный Lifeline арбуз-яблоко негазированный, 500мл;603218946;/products/05l-vit-nap-lifeline-arbuzyabloko-bg-pet-228614;67.9;67.9;LIFELINE
Вода Baikal Reserve газированная, 250мл;530877005;/products/025l-voda-baykal-rezerv-gaz-st-215216;79.9;103;BAIKAL RESERVE
Напиток витаминный Lifeline лимон негазированный, 500мл;603218951;/products/05l-vit-nap-lifeline-limon-bg-pet-228626;64.9;64.9;LIFELINE
Вода минеральная Сенежская питьевая негазированная, 750мл;454825176;/products/075l-voda-senezhskaya-bg-st-212937;85.9;85.9;СЕНЕЖСКАЯ
Вода Fahrenheit витаминная лимон-лайм негазированная, 500мл;454825231;/products/05l-voda-fahrenheit-vitamin-limonlaym-pet-212950;59.9;113;FAHRENHEIT
Вода San Bernardo Frizzante Premium природная газированная, 500мл;11974291;/products/05l-voda-san-bernardo-frizzante-premium-pet-138356;136;136;SAN BERNARDO
Вода минеральная Evian негазированная, 1л;607484651;/products/voda-mineralnaya-evian-negazirovannaya-1l;281;281;EVIAN
Напиток соковый Святой Источник Лесные ягоды газированный, 1.5л;607440067;/products/15l-sok-nap-svyatoy-istochnik-lesnye-yagody-gaz-pet;106;106;СВЯТОЙ ИСТОЧНИК
Вода Edis негазированная, 500мл;321643812;/products/05l-voda-edis-negaz-st-208638;155;155;EDIS
Вода Mever природная минеральная негазированная, 500мл;558719;/products/mever-bez-gaza-05-l;41.9;41.9;MEVER
Вода Святой Источник негазированная яблоко, 1.5л;642905;/products/svyatoj-istochnik-negazirovannaya-yabloko-15l;74.9;82.9;СВЯТОЙ ИСТОЧНИК
Вода San Bernardo газированная, 1.5л;596863;/products/15l-voda-san-bernardo-gaz-pet-116425;257;257;SAN BERNARDO
Вода минеральная Псыж газированная, 450мл;603829768;/products/045l-voda-psyzh-gaz-mineralnaya-pet-229731;37.99;37.99;ПСЫЖ
Вода минеральная Сенежская питьевая газированная, 750мл;454872701;/products/075l-voda-senezhskaya-gaz-st-212939;85.9;85.9;СЕНЕЖСКАЯ
Вода Липецкая Росинка минеральная газированная, 500мл;576334;/products/mineralnaya-lipeckaya-gazirovannaya-05-l;28.9;37.9;ЛИПЕЦКАЯ
Вода Edis газированная, 950мл;321643817;/products/095l-voda-edis-gaz-st-208641;219;219;EDIS
Вода минеральная Miss mineral detox газированная, 1л;604926296;/products/voda-mineralnaya-miss-mineral-detox-gazirovannaya-1l;110;110;MISS MINERAL DETOX
Вода Aqua Minerale черешня газированная, 1л;217794541;/products/1l-voda-aqua-minerale-chereshnya-gaz-pet-203024;99.9;105;AQUA MINERALE
Вода Rare минеральная кремнистая газированная, 800мл;172965594;/products/08l-voda-rare-mineralnaya-kremnistaya-gaz-st-202485;154;154;RARE
Вода Липецкая Росинка с соком тропических фруктов газированная, 1.5л;454825246;/products/15l-voda-lipetskaya-rosinka-s-sokom-trop-frukt-gaz-pet-213009;54.9;59.9;ЛИПЕЦКАЯ РОСИНКА
RIOBA Вода газированная, 750мл;481402;/products/rioba-gazirovannaya-075-l;78.9;78.9;RIOBA
Вода Stelmas Mg+ минеральная газированная, 500мл;574933;/products/stelmas-mg-pet-05-l;63.9;63.9;STELMAS
Вода Липецкая Росинка Лайт негазированная, 500мл;575419;/products/voda-lipeckaya-rosinka-lajt-05-l;28.9;37.9;ЛИПЕЦКАЯ РОСИНКА
Вода Baikal Reserve газированная, 750мл;607469731;/products/075l-voda-baikal-reserve-gaz-st-241846;191;191;BAIKAL RESERVE
Вода Сенежская лимон-мята газированная, 1л;604934632;/products/voda-senezhskaya-limon-myata-gazirovannaya-1l;54.9;54.9;СЕНЕЖСКАЯ
Вода Legend of Baikal лайм негазированная, 330мл;537469454;/products/033l-voda-legend-of-baikal-laym-bg-zhb-215855;79.9;98.9;LEGEND OF BAIKAL
Вода Святой Источник негазированная со вкусом лимона, 500мл;439624;/products/svyatoj-istochnik-limon-negazirovannaya-05-l;57.9;57.9;СВЯТОЙ ИСТОЧНИК
Вода Sairme минеральная лечебно-столовая газированная, 500мл;246172;/products/sairme-gazirovannaya-05-l;122;122;SAIRME
Вода Aqua Minerale Active цитрус негазированная, 1л;603829763;/products/1l-voda-aqua-minerale-active-tsitrus-pet-229680;107;107;AQUA MINERALE
Вода Aqua Minerale Fresh гранат газированная, 1л;603825704;/products/1l-voda-aqua-minerale-fresh-granat-gaz-pet-229291;99.9;105;AQUA MINERALE
Вода Биовита минеральная природная негазированная, 1.5л;213574;/products/pityevaya-biovita-15l;69.9;69.9;БИОВИТА
Вода Aqua Russa газированная, 500мл;415553;/products/aqua-russa-gazirovannaya-05-l;94.9;94.9;AQUA RUSSA
Напиток соковый Святой Источник Лесные ягоды газированный, 500мл;607439022;/products/05l-sok-nap-svyatoy-istochnik-lesnye-yagody-gaz-pet;76.9;76.9;СВЯТОЙ ИСТОЧНИК
Напиток соковый Святой Источник Цитрус газированный, 500мл;607440072;/products/05l-sok-nap-svyatoy-istochnik-limontsitrus-gaz-pet;76.9;76.9;СВЯТОЙ ИСТОЧНИК
Напиток Legend of Baikal Хвоя газированный, 330мл;608942186;/products/napitok-legend-of-baikal-hvoya-gazirovannyy-330ml;142;142;LEGEND OF BAIKAL
aro Вода лимон негазированная, 500мл;592070178;/products/05l-voda-aro-limon-bg-pet-218908;32.99;32.99;ARO
Вода Святой Источник со вкусом персика негазированная, 500мл;491927931;/products/05l-voda-svyatoy-istochnik-so-vkusom-persika-bg-pet-214946;57.9;57.9;СВЯТОЙ ИСТОЧНИК
Вода Legend of Baikal газированная, 500мл;608945801;/products/voda-legend-of-baikal-gazirovannaya-500ml;91.9;91.9;LEGEND OF BAIKAL
Вода Rare минеральная кремнистая газированная, 330мл;177528690;/products/033l-voda-rare-mineralnaya-kremnistaya-gaz-st-202481;111;111;RARE
Вода питьевая Сенежская Sport негазированная, 750мл;604936292;/products/voda-senezhskaya-sport-bez-gaza-750ml;49.99;49.99;СЕНЕЖСКАЯ
Вода Legend of Baikal малина негазированная, 330мл;537684894;/products/033l-voda-legend-of-baikal-malina-bg-zhb-215857;79.9;98.9;LEGEND OF BAIKAL
Напиток Aqua Minerale с соком Черешня газированный, 500мл;538371;/products/aqua-minerale-so-vkusom-chereshni-05-l-31182;74.9;78.9;AQUA MINERALE
Вода Святой Источник негазированная яблоко, 500мл;642575;/products/svyatoj-istochnik-negazirovannaya-yabloko-500ml;57.9;57.9;СВЯТОЙ ИСТОЧНИК
Вода Святой Источник негазированная клубника, 500мл;643390;/products/svyatoj-istochnik-negazirovannaya-klubnika-500ml;57.9;57.9;СВЯТОЙ ИСТОЧНИК
Напиток Legend of Baikal Хвоя газированный, 330мл x 12 шт;608943921;/products/033l-gaz-nap-legend-of-baikal-hvoya-zhb;1788;1788;LEGEND OF BAIKAL
Вода Aqua Minerale Fresh гранат газированная, 500мл;603825699;/products/05l-voda-aqua-minerale-fresh-granat-gaz-pet-229286;74.9;78.9;AQUA MINERALE
Вода Legend of Baikal газированная, 330мл;608942081;/products/voda-legend-of-baikal-gazirovannaya-330ml-246117;71.9;71.9;LEGEND OF BAIKAL
Вода минеральная Perrier газированная, 750мл x 12 шт;607484591;/products/075l-voda-min-perrier-gaz-st;3588;3588;PERRIER
Вода Gletcher природная негазированная, 500мл x 12 шт;217661101;/products/05l-voda-prirodnaya-pitevaya-gletcher-negaz-pet-203706;1500;1500;GLETCHER
Вода детская Stelmas негазированная, 1.5л;613248484;/products/15l-voda-detskaya-stelmas-bg-pet-247902;62.9;62.9;STELMAS
Вода Legend of Baikal газированная, 500мл x 12 шт;608942426;/products/05l-voda-legend-of-baikal-gaz-pet;1030.8;1030.8;LEGEND OF BAIKAL
Вода Архыз негазированная, 500мл;187278;/products/arhyz-negazirovannaya-05-l;38.49;38.49;АРХЫЗ
Вода BonaAqua газированная, 330мл;147264746;/products/033l-voda-bona-aqua-gaz-st-200953;64.9;76.99;BONAAQUA
Вода Baikal430 Байкальская глубинная вода негазированная, 450мл x 12 шт;528241;/products/art-653759;838.8;838.8;BAIKAL430
Вода Petroglyph минеральная природная столовая негазированная, 0.75л;591993537;/products/075l-min-voda-petroglyph-prirod-stol-bg-st-221275;123;123;PETROGLYPH
Вода минеральная Evian негазированная, 1л x 12 шт;607483671;/products/1l-voda-min-evian-pet;3108;3108;EVIAN
Вода San Bernardo Naturale Premium природная негазированная, 500мл;11974446;/products/05l-voda-san-bernardo-naturale-premium-pet-138358;136;136;SAN BERNARDO
Вода минеральная Mever газированная, 500мл;656086;/products/05-l-min-mever-gaz-st-131447;60.9;75.9;MEVER
Вода Edis негазированная, 950мл;321191597;/products/095l-voda-edis-negaz-st-208644;219;219;EDIS
Вода Fahrenheit негазированная, 500мл;454825241;/products/05l-voda-fahrenheit-bg-pet-212958;49.9;68.9;FAHRENHEIT
Вода Sairme Родники негазированная, 500мл;655871;/products/05-l-sairme-rodniki-b-g-pet-131467;54.9;54.9;SAIRME
Вода Fahrenheit витаминная лимон-лайм негазированная, 500мл x 9 шт;454825236;/products/05l-voda-fahrenheit-vitamin-limonlaym-pet-212955;539.1;981;FAHRENHEIT
Вода Baikal430 глубинная негазированная, 5л x 2 шт;604361;/products/5l-baikal430-glubinnaya-b-g-pet-117722;838;838;BAIKAL430
Напиток Borjomi Flavored с экстрактами лайма и кориандра газированный, 330мл;585102;/products/napitok-borjomi-flavored-water-lajm-koriandr-bez-sahara-330-ml;64.9;95.9;BORJOMI
Вода Petroglyph минеральная природная столовая негазированная, 0.375л x 12 шт;594140473;/products/0375l-min-voda-petroglyph-prirod-stol-bg-st-221270;1078.8;1078.8;PETROGLYPH
Вода Aqua Minerale питьевая негазированная, 260мл;379199;/products/aqua-minerale-bez-gaza-026-l-540361;139;139;AQUA MINERALE
Напиток витаминный Lifeline арбуз-яблоко негазированный, 500мл x 12 шт;603218511;/products/05l-vit-nap-lifeline-arbuzyabloko-bg-pet-228615;778.8;778.8;LIFELINE
Вода Sairme Родники негазированная, 1л x 6 шт;656056;/products/1l-sairme-rodniki-b-g-pet-131482;539.4;539.4;SAIRME
Вода Gletcher природная негазированная, 1.5л;217795025;/products/15l-voda-prirodnaya-pitevaya-gletcher-negaz-pet-203725;274;274;GLETCHER
Вода Legend of Baikal без газа, 330мл;608945446;/products/voda-legend-of-baikal-bez-gaza-330ml;71.9;71.9;LEGEND OF BAIKAL
Вода Chaokoh кокосовая негазированная, 350мл;172965582;/products/035l-kokosovaya-voda-chaokoh-zhb-202468;203;203;CHAOKOH
Вода San Benedetto минеральная газированная, 750мл x 12 шт;581582;/products/sanbenedetto-stolovaya-pityevaya-gazirovannaya-075-l-107662;3588;3588;SAN BENEDETTO
Вода Borjomi природная минеральная газированная, 500мл x 12 шт;108448;/products/borjomi-lechebno-stolovaya-gazirovannaya-05-l-h-12sht;1260;1260;BORJOMI
Вода минеральная Miss mineral detox газированная, 1л x 6 шт;604924956;/products/voda-mineralnaya-miss-mineral-detox-gazirovannaya-1l-x-6-sht;630;630;MISS MINERAL DETOX
Вода Черноголовка негазированная, 2.5л x 4 шт;581546;/products/voda-chernogolovka-negazirovannaya-25l;263.6;263.6;ЧЕРНОГОЛОВКА
Вода Архыз Vita негазированная, 1.5л x 6 шт;93276;/products/arhyz-negazirovannaya-15l-75126;335.4;335.4;АРХЫЗ
Напиток соковый Святой Источник Цитрус газированный, 1.5л х 6 шт;607439037;/products/napitok-sokovyy-svyatoy-istochnik-tsitrus-gazirovannyy-15l-h-6-sht;599.4;599.4;СВЯТОЙ ИСТОЧНИК
Вода Baikal Pearl без газа, 750мл x 15 шт;607470656;/products/075l-voda-zhemchuzhina-baykala-bg-st-241853;2835;2835;BAIKAL PEARL
Вода Святой Источник негазированная клубника, 1.5л x 6 шт;643410;/products/15l-svyatoj-istochnik-pet-negaz-klubnika;449.4;539.4;СВЯТОЙ ИСТОЧНИК
Вода Сенежская лимон-мята газированная, 1л x 6 шт;604937947;/products/voda-senezhskaya-limon-myata-gazirovannaya-1l-x-6-sht;329.4;329.4;СЕНЕЖСКАЯ
Вода детская Stelmas негазированная, 1.5л x 6 шт;613256299;/products/15l-voda-detskaya-stelmas-bg-pet-247904;377.39;377.39;STELMAS
Вода Aqua Russa газированная, 500мл x 12 шт;594830;/products/05-l-voda-akva-russa-gaz-st;886.8;886.8;AQUA RUSSA
Вода детская Черноголовка Baby негазированная, 330мл x 12 шт;612655;/products/chernogolovka-baby-pet-033-l-119102;365.88;365.88;ЧЕРНОГОЛОВКА
Вода Святой Источник негазированная, 5л x 2 шт;594335;/products/5l-voda-svyatoj-istochnik-b-g;205.8;258;СВЯТОЙ ИСТОЧНИК
Вода Stelmas минеральная природная столовая негазированная, 1.5л x 6 шт;596453;/products/15l-voda-stelmas-b-g-pet-115957;323.4;323.4;STELMAS
